Node,Latitude,Longitude,Section,Feeder
hn828160024s03,34.82383,134.8406,5,21.0
hn828160030,34.82628,134.84377,5,21.0
hn828160031,34.82639,134.84411,5,21.0
hn828160031w04,34.8273,134.84352,5,21.0
hn828160032n05w4,34.82951,134.8427,5,21.0
hn828160014s05e4s3,34.82298,134.83716,5,21.0
hn828160014s05e6s2,34.82352,134.83792,5,21.0
hn828160017n02,34.82643,134.8373,5,21.0
hn828160031w01,34.82663,134.84386,5,21.0
hn828160031w02,34.82689,134.84366,5,21.0
hn828160031w03,34.82708,134.84356,5,21.0
hn828160031s01,34.82605,134.84428,5,21.0
hn828160031s02,34.82572,134.84444,5,21.0
hn828160032,34.82642,134.84461,5,21.0
hn828160032n01,34.8266,134.84449,5,21.0
hn828160032n01g1,34.82709,134.84443,5,21.0
hn828160032n02,34.82751,134.84425,5,21.0
hn828160032n03,34.82798,134.84406,5,21.0
hn828160032n03e1,34.82786,134.84435,5,21.0
hn828160032n04,34.82826,134.84389,5,21.0
hn828160032n04g1,34.82844,134.84379,5,21.0
hn828160032n05,34.82864,134.84362,5,21.0
hn828160032n05w1,34.82885,134.84356,5,21.0
hn828160032n05w2,34.82923,134.84322,5,21.0
hn828160032n05w3,34.82958,134.84303,5,21.0
hn828160032n05w4s1,34.82936,134.84264,5,21.0
hn828160032n05w5,34.82938,134.84241,5,21.0
hn828160033,34.82666,134.84494,5,21.0
hn828160034,34.82686,134.84529,5,21.0
hn828160034g01,34.82683,134.84553,5,21.0
hn828160034g02,34.82677,134.84585,5,21.0
hn828160035,34.82662,134.846,5,21.0
hn828160036,34.82636,134.8461,5,21.0
hn828160036g01,34.82608,134.84627,5,21.0
hn828160037,34.82591,134.84644,5,21.0
hn828160037w01,34.82565,134.84645,5,21.0
hn828160037w02,34.82555,134.84611,5,21.0
hn828160037w03,34.82541,134.84568,5,21.0
hn828160037w04,34.82526,134.84522,5,21.0
hn828160037w05,34.82513,134.84483,5,21.0
hn828160037w06,34.82497,134.84436,5,21.0
hn828160037w07,34.82483,134.84393,5,21.0
hn828160037w08,34.82467,134.84348,5,21.0
hn828160037w09,34.82453,134.84307,5,21.0
hn828160037w10,34.82438,134.8427,5,21.0
